Model,MAE,MSE,RMSE,R2,Training Time
Linear Regression,0.5077709376611416,0.48822999046997934,0.6987345636720567,0.6274216686721865,0.028338909149169922
Ridge,0.5077709381896245,0.4882299936004946,0.6987345659121886,0.6274216662832262,0.007593631744384766
Lasso,0.5078290808741284,0.48855752950983034,0.6989689045371262,0.6271717169049981,0.10853981971740723
Random Forest,0.32883211637596915,0.2552540887669524,0.5052267696460199,0.8052103633251911,35.30932903289795
Extra Trees,0.342399325145349,0.26844021129139634,0.5181121609182672,0.7951477624552359,15.11094069480896
